Organisation Name,Datafeed ID,% AVL to Timetables feed matching score,Latest matching report URL
Transport for Greater Manchester,12880,97.0,https://publish.bus-data.dft.gov.uk/org/978/dataset/avl/12880/download-matching-report/
ASD Coaches,12968,70.0,https://publish.bus-data.dft.gov.uk/org/284/dataset/avl/12968/download-matching-report/
Top Mops Limited,12986,0.0,https://publish.bus-data.dft.gov.uk/org/896/dataset/avl/12986/download-matching-report/
Evolve Bus & Coach,13256,,
HOWARDS TRAVEL AND OMEGA BUSWAYS LIMITED,13259,,
Crosskeys Coaches,13281,100.0,https://publish.bus-data.dft.gov.uk/org/423/dataset/avl/13281/download-matching-report/
David Goodfellow Travel,13343,66.0,https://publish.bus-data.dft.gov.uk/org/931/dataset/avl/13343/download-matching-report/
1st Bus Stop Ltd,13355,82.0,https://publish.bus-data.dft.gov.uk/org/330/dataset/avl/13355/download-matching-report/
David Goodfellow Travel,13364,,
A and J Taxis,13405,,
Taylors Coach Travel Ltd,13407,,
Golden Tours,13480,,
Duck Tours,13481,0.0,https://publish.bus-data.dft.gov.uk/org/746/dataset/avl/13481/download-matching-report/
CAWTHORNE'S TRAVEL LTD,13504,,
Pats Coaches,13624,0.0,https://publish.bus-data.dft.gov.uk/org/147/dataset/avl/13624/download-matching-report/
Clarkes of London,13642,,
Sheffield Community Transport,13650,,
Hedge the Distance,13673,,
Travel Express,13701,0.0,https://publish.bus-data.dft.gov.uk/org/306/dataset/avl/13701/download-matching-report/
Stantons of Stoke,13799,58.0,https://publish.bus-data.dft.gov.uk/org/57/dataset/avl/13799/download-matching-report/
Blue Buses,13803,0.0,https://publish.bus-data.dft.gov.uk/org/157/dataset/avl/13803/download-matching-report/
Peoples Bus,13874,,
Liverpool City Sights,13990,,
A2B Travel Group Ltd,14022,85.0,https://publish.bus-data.dft.gov.uk/org/826/dataset/avl/14022/download-matching-report/
Centrebus Group,14025,98.0,https://publish.bus-data.dft.gov.uk/org/8/dataset/avl/14025/download-matching-report/
Centrebus Group,14026,99.0,https://publish.bus-data.dft.gov.uk/org/8/dataset/avl/14026/download-matching-report/
Nottingham City Transport,14029,,
Sussex Coaches,14151,83.0,https://publish.bus-data.dft.gov.uk/org/416/dataset/avl/14151/download-matching-report/
Telford Coaches,14158,100.0,https://publish.bus-data.dft.gov.uk/org/215/dataset/avl/14158/download-matching-report/
CT Coaches,14261,0.0,https://publish.bus-data.dft.gov.uk/org/453/dataset/avl/14261/download-matching-report/
Finestyle Coaches,14272,,
