"operator","noc"
"T J Travel Ltd","TJTL"
"TK Travel","TKTR"
"TLC Travel Ltd","TLCT"
"TM Travel Ltd","TMTL"
"Top Mops Limited","MBUP"
"Torbay Buses","DJWA"
"Torbay Council (UILTA)","TorLTA"
"Totnes Community Bus","TOTN"
"Transdev","BPTR"
"Transdev","FLYE"
"Transdev","HRGT"
"Transdev","KDTR"
"Transdev","LNUD"
"Transdev","ROST"
"Transdev","TPEN"
"Transdev","YCST"
"Transport Connect","TCNT"
"Transport for Greater Manchester","ABCD"
"Transport for Greater Manchester","BNDB"
"Transport for Greater Manchester","BNFM"
"Transport for Greater Manchester","BNGN"
"Transport for Greater Manchester","BNML"
"Transport for Greater Manchester","BNSM"
"Transport for Greater Manchester","BNVB"
"Transport for the South East (LTA)","TFSELTA"
"Transport Made Simple","CHAM"
"Transport Made Simple","GOEA"
"Transport Made Simple","HEDO"
"Transport Made Simple","KCTB"
"Transport Made Simple","SEFF"
"Transport Made Simple","SIMO"
"Transport Made Simple","TMSB"
"Travel Cornwall","SMMC"
"Travel Express","TEXP"
"Travel Masters","TMST"
"trentbarton","BRTB"
"trentbarton","TBTN"
"Troopers Lodge Motor Services Ltd","TLGA"
"Tyrers Coaches","RSTY"
"Ugobus","ESCL"
"United Minibuses & Coaches Ltd","UNTM"
"Uno","UNIB"
"Vale Travel","VLET"
"Varteg Motors Ltd T/A Phil Anslow Coaches","ANSL"
"Viking Coaches (Heywood)","VIKG"
"VikingsCoaches.com Ltd","WVIK"
"Vision Bus","VISB"
"Voel Coaches Ltd","VOEL"
"Walsall Community Transport","WACT"
"Waltons Coach Hire","WCHL"
"Warrington Borough Council (UILTA)","WarrLTA"
"Warrington’s Own Buses","WBTR"
"Warwickshire County Council (UILTA)","WarLTA"
"Weardale Motor Services","WMSV"
"West Berkshire Council (UILTA)","WBCT"
"Western Dales Bus","WDCB"
"West Midlands Combined Authority (UILTA)","TFWMLTA"
"West Northamptonshire County Council (UILTA)","NorthsLTA"
"West Oxfordshire Community Transport","WOCT"
"West Sussex County Council (UILTA)","WSussLTA"
"West Yorkshire Combined Authority (UILTA)","WYCA"
"West of England Combined Authority (UILTA)","WestoeLTA"
"Whincop of Peasenhall","WHCO"
"Whippet Coaches","WHIP"
"White Bus","WBSV"
"Whites Coaches","WHTS"
"Wilfreda Luxury Coaches Ltd","WBHV"
"Wiltshere Council (UILTA)","WILT"
"Wiltshire County Council (UILTA)","WIBS"
"WNCT LTD","WNCT"
"Wokingham Borough Council (UILTA)","WokLTA"
"Woods Coaches Ltd","WOOC"
"Woods of Berwick Ltd","WBWK"
"Worcestershire County Council (UILTA)","WCSC"
"Wrexham & Prestige Taxis Ltd","TEMPWX"
"Wright Bros Coaches","WGTB"
"Wyre Coaches","WCOA"
"Xelabus","XLBL"
"Yarranton Brothers","YTNB"
"Yeomans Travel","LVTR"
"Yeomans Travel","YEOC"
"Yeos Contracts","YEOS"
"York & North Yorkshire Combined Authority (UILTA)","YNYCALTA"
"York Pullman Bus Company","KJTR"
"Yorkshire Travel Group Ltd t/a Yorkshire Buses","YYTG"
"Zero2 Bus Museum Ltd","ZERO"
"Z&S Transport","ZSIN"
